Component, GAV, License, URL, Scope, Path
Atlassian Annotations - Annotations,com.atlassian.annotations:atlassian-annotations:2.1.0:jar,BSD License,http://www.atlassian.com/public-pom/atlassian-annotations-parent/atlassian-annotations/,binary,com.atlassian.migration:migration-agent:3.9.5/lib/app-migration-assistant-3.0.6-fat.jar/META-INF/maven/com.atlassian.annotations/atlassian-annotations
Atlassian Annotations - Annotations,com.atlassian.annotations:atlassian-annotations:4.0.1:jar,BSD License,https://www.atlassian.com/public-pom/atlassian-annotations-parent/atlassian-annotations/,binary,
Atlassian Cache - API,com.atlassian.cache:atlassian-cache-api:6.0.2:jar,BSD License,http://docs.atlassian.com/atlassian-cache-api/6.0.2/atlassian-cache-api,binary,
Atlassian Cache - Common Implementation,com.atlassian.cache:atlassian-cache-common-impl:6.0.2:jar,BSD License,http://docs.atlassian.com/atlassian-cache-common-impl/6.0.2/atlassian-cache-common-impl,binary,
Atlassian Cache - EhCache Implementation,com.atlassian.cache:atlassian-cache-ehcache:6.0.2:jar,BSD License,http://docs.atlassian.com/atlassian-cache-ehcache/6.0.2/atlassian-cache-ehcache,binary,
Atlassian Cache - Hazelcast implementation,com.atlassian.cache:atlassian-cache-hazelcast:6.0.2:jar,BSD License,http://docs.atlassian.com/atlassian-cache-hazelcast/6.0.2/atlassian-cache-hazelcast,binary,
Atlassian Concurrency Utilities,com.atlassian.util.concurrent:atlassian-util-concurrent:2.3.0:jar,Apache License 2.0,https://labs.atlassian.com/wiki/display/CONCURRENT/Home,binary,com.atlassian.troubleshooting:plugin-confluence:1.50.2/META-INF/maven/com.atlassian.util.concurrent/atlassian-util-concurrent
Atlassian Concurrency Utilities,com.atlassian.util.concurrent:atlassian-util-concurrent:3.0.0:jar,Apache License 2.0,https://labs.atlassian.com/wiki/display/CONCURRENT/Home,binary,
Atlassian Concurrency Utilities,io.atlassian.util.concurrent:atlassian-util-concurrent:4.0.1:jar,Apache 2,https://labs.atlassian.com/wiki/display/CONCURRENT/Home,binary,
Atlassian Core Thumbnail,com.atlassian.core:atlassian-core-thumbnail:8.0.1:jar,BSD License,https://docs.atlassian.com/atlassian-core-thumbnail/8.0.1/atlassian-core-thumbnail,binary,
Atlassian Core User,com.atlassian.core:atlassian-core-user:8.0.1:jar,BSD License,https://docs.atlassian.com/atlassian-core-user/8.0.1/atlassian-core-user,binary,
Atlassian Core,com.atlassian.core:atlassian-core:8.0.1:jar,BSD License,https://docs.atlassian.com/atlassian-core/8.0.1/atlassian-core,binary,
Atlassian Diagnostics - API,com.atlassian.diagnostics:atlassian-diagnostics-api:3.1.1:jar,Apache License -  Version 2.0,https://www.atlassian.com/public-pom/atlassian-diagnostics-parent/atlassian-diagnostics-api/,binary,
Atlassian Diagnostics - Core,com.atlassian.diagnostics:atlassian-diagnostics-core:3.1.1:jar,Apache License -  Version 2.0,https://www.atlassian.com/public-pom/atlassian-diagnostics-parent/atlassian-diagnostics-core/,binary,
Atlassian Diagnostics - Platform,com.atlassian.diagnostics:atlassian-diagnostics-platform:3.1.1:jar,Apache License -  Version 2.0,https://www.atlassian.com/public-pom/atlassian-diagnostics-parent/atlassian-diagnostics-platform/,binary,
Atlassian Diagnostics - Plugin,com.atlassian.diagnostics:atlassian-diagnostics-plugin:3.1.1:atlassian-plugin,Apache License 2.0,https://www.atlassian.com/public-pom/atlassian-diagnostics-parent/atlassian-diagnostics-plugin/,binary,
Atlassian Event,com.atlassian.event:atlassian-event:5.0.2:jar,BSD License,https://docs.atlassian.com/atlassian-event/5.0.2,binary,
Atlassian Front-End Runtime Plugin,com.atlassian.frontend:atlassian-frontend-runtime-plugin:0.4.0:atlassian-plugin,Apache License -  Version 2.0,https://bitbucket.org/atlassianlabs/atlassian-frontend-runtime-plugin,binary,
Atlassian GraphQL - Annotations,com.atlassian.graphql:atlassian-graphql-annotations:2.1.0:jar,BSD License,https://www.atlassian.com/public-pom/atlassian-graphql-parent/atlassian-graphql-annotations/,binary,
Atlassian GraphQL - Module Types,com.atlassian.plugins.graphql:atlassian-graphql-module:2.1.0:bundle,BSD License,https://www.atlassian.com/public-pom/atlassian-graphql-parent/atlassian-graphql-module/,binary,
Atlassian GraphQL,com.atlassian.graphql:atlassian-graphql:2.1.0:jar,BSD License,https://www.atlassian.com/public-pom/atlassian-graphql-parent/atlassian-graphql/,binary,
Atlassian Gzip Filter,com.atlassian.gzipfilter:atlassian-gzipfilter:3.0.3:jar,BSD License,https://docs.atlassian.com/atlassian-gzipfilter/3.0.3/atlassian-gzipfilter,binary,
Atlassian HealthCheck Common Module,com.atlassian.healthcheck:atlassian-healthcheck:7.0.1:atlassian-plugin,BSD License,https://www.atlassian.com/atlassian-healthcheck/,binary,
Atlassian HealthCheck library support in-product tests: plugin healthcheck related constants,com.atlassian.healthcheck:atlassian-healthcheck-plugin-check-api:7.0.1:jar,BSD License,https://www.atlassian.com/atlassian-healthcheck-plugin-check-api/,binary,
Atlassian HealthCheck SPI,com.atlassian.healthcheck:atlassian-healthcheck-spi:7.0.1:jar,BSD License,https://www.atlassian.com/atlassian-healthcheck-spi/,binary,
Atlassian HTTP Client -  Apache HTTP components impl library,com.atlassian.httpclient:atlassian-httpclient-library:3.0.4:jar,Apache License 2.0,https://www.atlassian.com/public-pom/atlassian-httpclient-parent/atlassian-httpclient-library/,binary,
Atlassian HTTP Client -  Apache HTTP components impl,com.atlassian.httpclient:atlassian-httpclient-plugin:3.0.4:atlassian-plugin,Apache License 2.0,https://www.atlassian.com/public-pom/atlassian-httpclient-parent/atlassian-httpclient-plugin/,binary,
Atlassian HTTP Client API,com.atlassian.httpclient:atlassian-httpclient-api:3.0.4:jar,Apache License 2.0,https://www.atlassian.com/public-pom/atlassian-httpclient-parent/atlassian-httpclient-api/,binary,
Atlassian Http,com.atlassian.http:atlassian-http:1.1.8:jar,Apache 2,https://bitbucket.org/atlassian/atlassian-http,binary,com.atlassian.gadgets:atlassian-gadgets-opensocial-plugin:8.1.3/META-INF/lib/atlassian-http-1.1.8.jar/META-INF/maven/com.atlassian.http/atlassian-http
Atlassian Http,com.atlassian.http:atlassian-http:3.0.3:jar,Apache 2,https://bitbucket.org/atlassian/atlassian-http,binary,
Atlassian IP,com.atlassian.ip:atlassian-ip:3.1:jar,BSD License,https://maven.atlassian.com/public/licenses/license.txt,binary,
Atlassian JDK Utilities,com.atlassian.jdk.utilities:atlassian-jdk-utilities:0.6:jar,BSD License,https://docs.atlassian.com/atlassian-jdk-utilities/0.6,binary,
Atlassian Johnson :: Core,com.atlassian.johnson:atlassian-johnson-core:4.0.1:jar,BSD License,https://docs.atlassian.com/atlassian-johnson-core/4.0.1/atlassian-johnson-core,binary,
Atlassian Johnson :: Plugin Framework Extensions,com.atlassian.johnson:atlassian-johnson-plugins:4.0.1:jar,BSD License,https://docs.atlassian.com/atlassian-johnson-plugins/4.0.1/atlassian-johnson-plugins,binary,
Atlassian JWT API,com.atlassian.jwt:jwt-api:3.3.2:jar,Apache License 2.0,https://www.atlassian.com/public-pom/jwt-parent/jwt-api/,binary,
Atlassian JWT Applinks,com.atlassian.jwt:jwt-applinks:3.3.2:jar,Apache License 2.0,https://www.atlassian.com/public-pom/jwt-parent/jwt-applinks/,binary,
Atlassian JWT Core,com.atlassian.jwt:jwt-core:3.3.2:jar,Apache License 2.0,https://www.atlassian.com/public-pom/jwt-parent/jwt-core/,binary,
Atlassian JWT Plugin,com.atlassian.jwt:jwt-plugin:3.3.2:atlassian-plugin,Apache License 2.0,https://www.atlassian.com/public-pom/jwt-parent/jwt-plugin/,binary,
Atlassian JWT SPI,com.atlassian.jwt:jwt-spi:3.3.2:jar,Apache License 2.0,https://www.atlassian.com/public-pom/jwt-parent/jwt-spi/,binary,
Atlassian LESS Compiler Core,com.atlassian.lesscss:lesscss-core:5.0.5:jar,BSD License,https://stash.atlassian.com/projects/LESS/repos/less-transformer-plugin/browse/LICENSE.TXT,binary,
Atlassian LESS Compiler Plugin SPI,com.atlassian.lesscss:lesscss-plugin-spi:5.0.5:jar,BSD License,https://stash.atlassian.com/projects/LESS/repos/less-transformer-plugin/browse/LICENSE.TXT,binary,
Atlassian LESS Compiler SPI,com.atlassian.lesscss:lesscss-spi:5.0.5:jar,BSD License,https://stash.atlassian.com/projects/LESS/repos/less-transformer-plugin/browse/LICENSE.TXT,binary,
Atlassian LESS Transformer Plugin,com.atlassian.plugins:less-transformer-plugin:5.0.5:atlassian-plugin,BSD License,https://www.atlassian.com/public-pom/lesscss-parent/less-transformer-plugin/,binary,
Atlassian Mail,com.atlassian.mail:atlassian-mail:5.3.1:jar,BSD,http://docs.atlassian.com/atlassian-mail/5.3.1,binary,
Atlassian Marketplace Client,com.atlassian.marketplace:marketplace-client-java:2.0.15:jar,Apache 2.0 License,https://www.atlassian.com/public-pom/marketplace-client-java/,binary,com.atlassian.migration:migration-agent:3.9.5/lib/marketplace-client-java-2.0.15.jar/META-INF/maven/com.atlassian.marketplace/marketplace-client-java
Atlassian Marketplace Client,com.atlassian.marketplace:marketplace-client-java:3.1.10:jar,Apache 2.0 License,https://www.atlassian.com/central-pom/marketplace-client-java/,binary,
Atlassian Marketplace Client,com.atlassian.marketplace:marketplace-client-java:3.1.9:jar,Apache 2.0 License,https://www.atlassian.com/central-pom/marketplace-client-java/,binary,com.atlassian.upm:atlassian-universal-plugin-manager-plugin:6.1.8/META-INF/maven/com.atlassian.marketplace/marketplace-client-java
Atlassian Marshalling API,com.atlassian.marshalling:atlassian-marshalling-api:1.0.2:jar,BSD License,https://docs.atlassian.com/atlassian-marshalling-api/1.0.2,binary,
Atlassian Marshalling JDK,com.atlassian.marshalling:atlassian-marshalling-jdk:1.1.0:jar,BSD License,http://docs.atlassian.com/atlassian-marshalling-jdk/1.1.0,binary,
Atlassian OAuth 2 Client - API,com.atlassian.oauth2:oauth2-client-api:3.1.4:jar,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/oauth2-parent/oauth2-client-parent/oauth2-client-api/,binary,
Atlassian OAuth 2 Client - API,com.atlassian.oauth2:oauth2-scopes-api:3.1.4:jar,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/oauth2-parent/oauth2-scopes-parent/oauth2-scopes-api/,binary,
Atlassian OAuth 2 Client - Core,com.atlassian.oauth2:oauth2-client-core:3.1.4:jar,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/oauth2-parent/oauth2-client-parent/oauth2-client-core/,binary,
Atlassian OAuth 2 Client - Plugin,com.atlassian.oauth2:oauth2-client-plugin:3.1.4:atlassian-plugin,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/oauth2-parent/oauth2-client-parent/oauth2-client-plugin/,binary,
Atlassian OAuth 2 Client - REST API,com.atlassian.oauth2:oauth2-client-rest:3.1.4:atlassian-plugin,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/oauth2-parent/oauth2-client-parent/oauth2-client-rest/,binary,
Atlassian OAuth 2 Common,com.atlassian.oauth2:oauth2-common:3.1.4:jar,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/oauth2-parent/oauth2-common/,binary,
Atlassian OAuth 2 Provider - API,com.atlassian.oauth2:oauth2-provider-api:3.1.4:jar,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/oauth2-parent/oauth2-provider-parent/oauth2-provider-api/,binary,
Atlassian OAuth 2 Provider - Core,com.atlassian.oauth2:oauth2-provider-core:3.1.4:jar,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/oauth2-parent/oauth2-provider-parent/oauth2-provider-core/,binary,
Atlassian OAuth 2 Provider - Plugin,com.atlassian.oauth2:oauth2-provider-plugin:3.1.4:atlassian-plugin,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/oauth2-parent/oauth2-provider-parent/oauth2-provider-plugin/,binary,
Atlassian OAuth 2 Provider - Rest,com.atlassian.oauth2:oauth2-provider-rest:3.1.4:jar,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/oauth2-parent/oauth2-provider-parent/oauth2-provider-rest/,binary,
Atlassian OAuth 2 Scopes - Plugin,com.atlassian.oauth2:oauth2-scopes-plugin:3.1.4:atlassian-plugin,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/oauth2-parent/oauth2-scopes-parent/oauth2-scopes-plugin/,binary,
Atlassian OAuth API,com.atlassian.oauth:atlassian-oauth-api:5.0.11:atlassian-plugin,BSD License,https://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-api/,binary,
Atlassian OAuth Bridge,com.atlassian.oauth:atlassian-oauth-bridge:4.3.1:jar,BSD License,https://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-bridge/,binary,
Atlassian OAuth Bridge,com.atlassian.oauth:atlassian-oauth-bridge:5.0.11:jar,BSD License,https://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-bridge/,binary,com.atlassian.oauth:atlassian-oauth-service-provider-plugin:5.0.11/META-INF/lib/atlassian-oauth-bridge-5.0.11.jar/META-INF/maven/com.atlassian.oauth/atlassian-oauth-bridge
Atlassian OAuth Consumer Plugin,com.atlassian.oauth:atlassian-oauth-consumer-plugin:5.0.11:atlassian-plugin,BSD License,https://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-consumer-plugin/,binary,
Atlassian OAuth Consumer SAL SPI Implementation,com.atlassian.oauth:atlassian-oauth-consumer-sal-plugin:5.0.11:atlassian-plugin,BSD License,https://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-consumer-sal-plugin/,binary,
Atlassian OAuth Consumer Service Core Implementation,com.atlassian.oauth:atlassian-oauth-consumer-core:5.0.11:jar,BSD License,https://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-consumer-core/,binary,
Atlassian OAuth Consumer SPI,com.atlassian.oauth:atlassian-oauth-consumer-spi:5.0.11:atlassian-plugin,BSD License,https://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-consumer-spi/,binary,
Atlassian OAuth Service Provider Plugin,com.atlassian.oauth:atlassian-oauth-service-provider-plugin:5.0.11:atlassian-plugin,BSD License,https://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-service-provider-plugin/,binary,
Atlassian OAuth Service Provider SAL SPI Implementation,com.atlassian.oauth:atlassian-oauth-service-provider-sal-plugin:5.0.11:atlassian-plugin,BSD License,https://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-service-provider-sal-plugin/,binary,
Atlassian OAuth Service Provider SPI,com.atlassian.oauth:atlassian-oauth-service-provider-spi:5.0.11:atlassian-plugin,BSD License,https://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-service-provider-spi/,binary,
Atlassian OAuth Shared Base Library,com.atlassian.oauth:atlassian-oauth-shared:5.0.11:jar,BSD License,https://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-shared/,binary,
Atlassian Password Encoder,com.atlassian.security:atlassian-password-encoder:3.2.13:jar,Apache License 2.0,https://docs.atlassian.com/atlassian-password-encoder/3.2.13/atlassian-password-encoder,binary,com.atlassian.pats:pats-plugin:1.4.7/META-INF/maven/com.atlassian.security/atlassian-password-encoder
Atlassian Password Encoder,com.atlassian.security:atlassian-password-encoder:4.0.3:jar,Apache License 2.0,https://docs.atlassian.com/atlassian-password-encoder/4.0.3/atlassian-password-encoder,binary,
Atlassian Plugins - Avatar Plugin API,com.atlassian.plugins:avatar-plugin-api:1.3.5:jar,BSD License,http://www.atlassian.com/public-pom/avatar-plugin-parent/avatar-plugin-api/,binary,
Atlassian Plugins - Avatar Plugin,com.atlassian.plugins:avatar-plugin:1.3.5:atlassian-plugin,BSD License,http://www.atlassian.com/public-pom/avatar-plugin-parent/avatar-plugin/,binary,
Atlassian Plugins - Client-side Extensions - Page Bootstrapper,com.atlassian.plugins:atlassian-clientside-extensions-page-bootstrapper:1.2.8:atlassian-plugin,BSD License,https://www.atlassian.com/central-pom/atlassian-clientside-extensions-parent/atlassian-clientside-extensions-page-bootstrapper/,binary,
Atlassian Plugins - Client-side Extensions - Runtime,com.atlassian.plugins:atlassian-clientside-extensions-runtime:1.2.8:atlassian-plugin,BSD License,https://www.atlassian.com/central-pom/atlassian-clientside-extensions-parent/atlassian-clientside-extensions-runtime/,binary,
Atlassian Plugins - Core,com.atlassian.plugins:atlassian-plugins-core:7.2.2:jar,BSD License,https://docs.atlassian.com/atlassian-plugins-core/7.2.2/atlassian-plugins-core,binary,
Atlassian Plugins - Framework Bundles,com.atlassian.plugins:atlassian-plugins-framework-bundles:7.2.2:pom,BSD License,https://docs.atlassian.com/atlassian-plugins-framework-bundles/7.2.2/atlassian-plugins-framework-bundles,binary,
Atlassian Plugins - OSGi bridge framework bundle,com.atlassian.plugins:atlassian-plugins-osgi-bridge:7.2.2:jar,BSD License,https://docs.atlassian.com/atlassian-plugins-osgi-bridge/7.2.2/atlassian-plugins-osgi-bridge,binary,
Atlassian Plugins - OSGi events,com.atlassian.plugins:atlassian-plugins-osgi-events:7.2.2:jar,BSD License,https://docs.atlassian.com/atlassian-plugins-osgi-events/7.2.2/atlassian-plugins-osgi-events,binary,
Atlassian Plugins - OSGi Loader,com.atlassian.plugins:atlassian-plugins-osgi:7.2.2:jar,BSD License,https://docs.atlassian.com/atlassian-plugins-osgi/7.2.2/atlassian-plugins-osgi,binary,
Atlassian Plugins - Spring DM extender repackaged bundle,com.atlassian.plugins:atlassian-plugins-osgi-spring-extender:7.2.2:bundle,BSD License,https://docs.atlassian.com/atlassian-plugins-osgi-spring-extender/7.2.2/atlassian-plugins-osgi-spring-extender,binary,
Atlassian Plugins - Spring Integration,com.atlassian.plugins:atlassian-plugins-spring:7.2.2:jar,BSD License,https://docs.atlassian.com/atlassian-plugins-spring/7.2.2/atlassian-plugins-spring,binary,
Atlassian Plugins - Web Resource Common,com.atlassian.plugins:atlassian-plugins-webresource-common:7.2.2:jar,BSD License,https://docs.atlassian.com/atlassian-plugins-webresource-common/7.2.2/atlassian-plugins-webresource-common,binary,
Atlassian Plugins - Web Resources - Implementation Plugin,com.atlassian.plugins:atlassian-plugins-webresource-plugin:6.1.0:atlassian-plugin,BSD,https://www.atlassian.com/public-pom/atlassian-plugins-webresource-parent/atlassian-plugins-webresource-plugin/,binary,
Atlassian Plugins - Web Resources API,com.atlassian.plugins:atlassian-plugins-webresource-api:6.1.0:jar,BSD,https://www.atlassian.com/public-pom/atlassian-plugins-webresource-parent/atlassian-plugins-webresource-api/,binary,
Atlassian Plugins - Web Resources REST,com.atlassian.plugins:atlassian-plugins-webresource-rest:6.1.0:atlassian-plugin,BSD,https://www.atlassian.com/public-pom/atlassian-plugins-webresource-parent/atlassian-plugins-webresource-rest/,binary,
Atlassian Plugins - Web Resources SPI,com.atlassian.plugins:atlassian-plugins-webresource-spi:6.1.0:jar,BSD,https://www.atlassian.com/public-pom/atlassian-plugins-webresource-parent/atlassian-plugins-webresource-spi/,binary,
Atlassian Plugins - Web Resources,com.atlassian.plugins:atlassian-plugins-webresource:6.1.0:jar,BSD,https://www.atlassian.com/public-pom/atlassian-plugins-webresource-parent/atlassian-plugins-webresource/,binary,
Atlassian Plugins - Web Servlet,com.atlassian.plugins:atlassian-plugins-servlet:7.2.2:jar,BSD License,https://docs.atlassian.com/atlassian-plugins-servlet/7.2.2/atlassian-plugins-servlet,binary,
Atlassian Plugins Schema,com.atlassian.plugins:atlassian-plugins-schema:7.2.2:jar,BSD License,https://docs.atlassian.com/atlassian-plugins-schema/7.2.2/atlassian-plugins-schema,binary,
Atlassian Pretty URLs API,com.atlassian.prettyurls:atlassian-pretty-urls-api:4.1.1:jar,BSD License,https://www.atlassian.com/public-pom/atlassian-pretty-urls-parent/atlassian-pretty-urls-api/,binary,
Atlassian Pretty URLs Plugin,com.atlassian.prettyurls:atlassian-pretty-urls-plugin:4.1.1:atlassian-plugin,BSD License,https://www.atlassian.com/public-pom/atlassian-pretty-urls-parent/atlassian-pretty-urls-plugin/,binary,
Atlassian Process Utils,com.atlassian.utils:atlassian-processutils:1.7.9:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Atlassian Profiling - API Adaptor Plugin,com.atlassian.profiling:atlassian-profiling-adaptor-plugin:4.9.0:atlassian-plugin,BSD License,https://docs.atlassian.com/atlassian-profiling-adaptor-plugin/4.9.0/atlassian-profiling-base/atlassian-profiling-adaptor-plugin,binary,
Atlassian Profiling - API,com.atlassian.profiling:atlassian-profiling-api:4.9.0:jar,BSD License,https://docs.atlassian.com/atlassian-profiling-api/4.9.0/atlassian-profiling-base/atlassian-profiling-api,binary,
Atlassian Profiling - Micrometer,com.atlassian.profiling:atlassian-profiling-micrometer:4.9.0:jar,BSD License,https://docs.atlassian.com/atlassian-profiling-micrometer/4.9.0/atlassian-profiling-base/atlassian-profiling-micrometer,binary,
Atlassian Profiling,com.atlassian.profiling:atlassian-profiling:4.9.0:jar,BSD License,http://docs.atlassian.com/atlassian-profiling/4.9.0,binary,
Atlassian Rate Limiting - API,com.atlassian.ratelimiting:rate-limiting-api:2.1.7:jar,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/rate-limiting-parent/rate-limiting-api/,binary,
Atlassian Rate Limiting - Bamboo,com.atlassian.ratelimiting:rate-limiting-bamboo:2.1.7:jar,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/rate-limiting-parent/rate-limiting-bamboo/,binary,
Atlassian Rate Limiting - Confluence,com.atlassian.ratelimiting:rate-limiting-confluence:2.1.7:jar,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/rate-limiting-parent/rate-limiting-confluence/,binary,
Atlassian Rate Limiting - CORE,com.atlassian.ratelimiting:rate-limiting-core:2.1.7:jar,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/rate-limiting-parent/rate-limiting-core/,binary,
Atlassian Rate Limiting - DATABASE,com.atlassian.ratelimiting:rate-limiting-database:2.1.7:jar,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/rate-limiting-parent/rate-limiting-database/,binary,
Atlassian Rate Limiting - Jira,com.atlassian.ratelimiting:rate-limiting-jira:2.1.7:jar,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/rate-limiting-parent/rate-limiting-jira/,binary,
Atlassian Rate Limiting - Plugin,com.atlassian.ratelimiting:rate-limiting-plugin:2.1.7:atlassian-plugin,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/rate-limiting-parent/rate-limiting-plugin/,binary,
Atlassian Rate Limiting - RefApp,com.atlassian.ratelimiting:rate-limiting-refapp:2.1.7:jar,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/rate-limiting-parent/rate-limiting-refapp/,binary,
Atlassian Rate Limiting - REST,com.atlassian.ratelimiting:rate-limiting-rest:2.1.7:jar,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/rate-limiting-parent/rate-limiting-rest/,binary,
Atlassian REST - Common,com.atlassian.plugins.rest:atlassian-rest-common:7.1.8:jar,BSD License,https://www.atlassian.com/public-pom/atlassian-rest-parent/atlassian-rest-base/atlassian-rest-common/,binary,
Atlassian REST - Doclet,com.atlassian.plugins.rest:atlassian-rest-doclet:7.1.8:jar,BSD License,https://www.atlassian.com/public-pom/atlassian-rest-parent/atlassian-rest-base/atlassian-rest-doclet/,binary,
Atlassian REST - Module Types,com.atlassian.plugins.rest:atlassian-rest-module:7.1.8:atlassian-plugin,BSD License,https://www.atlassian.com/public-pom/atlassian-rest-parent/atlassian-rest-base/atlassian-rest-module/,binary,
Atlassian Scheduler - API,com.atlassian.scheduler:atlassian-scheduler-api:4.0.0:jar,BSD License,https://docs.atlassian.com/atlassian-scheduler-api/4.0.0/atlassian-scheduler-api,binary,
Atlassian Scheduler - Caesium Implementation,com.atlassian.scheduler:atlassian-scheduler-caesium:4.0.0:jar,BSD License,https://docs.atlassian.com/atlassian-scheduler-caesium/4.0.0/atlassian-scheduler-caesium,binary,
Atlassian Scheduler - Core,com.atlassian.scheduler:atlassian-scheduler-core:4.0.0:jar,BSD License,https://docs.atlassian.com/atlassian-scheduler-core/4.0.0/atlassian-scheduler-core,binary,
Atlassian Secure Random,com.atlassian.security:atlassian-secure-random:3.2.14:jar,Apache License 2.0,https://docs.atlassian.com/atlassian-secure-random/3.2.14/atlassian-secure-random,binary,com.atlassian.pats:pats-plugin:1.4.7/META-INF/maven/com.atlassian.security/atlassian-secure-random
Atlassian Secure Random,com.atlassian.security:atlassian-secure-random:4.0.3:jar,Apache License 2.0,https://docs.atlassian.com/atlassian-secure-random/4.0.3/atlassian-secure-random,binary,
Atlassian Secure Utils,com.atlassian.security:atlassian-secure-utils:4.0.3:jar,Apache License 2.0,https://docs.atlassian.com/atlassian-secure-utils/4.0.3/atlassian-secure-utils,binary,
Atlassian Secure XML,com.atlassian.security:atlassian-secure-xml:4.0.3:jar,Apache License 2.0,https://docs.atlassian.com/atlassian-secure-xml/4.0.3/atlassian-secure-xml,binary,
Atlassian Seraph,com.atlassian.seraph:atlassian-seraph:4.1.4:jar,BSD License,https://www.atlassian.com/public-pom/atlassian-seraph/,binary,
Atlassian Soy - API,com.atlassian.soy:soy-template-renderer-api:6.0.7:jar,BSD,https://www.atlassian.com/public-pom/soy-templates-parent/soy-template-renderer-api/,binary,
Atlassian Soy - Core,com.atlassian.soy:atlassian-soy-core:6.0.7:jar,BSD,https://www.atlassian.com/public-pom/soy-templates-parent/atlassian-soy-core/,binary,com.atlassian.soy:soy-template-plugin:6.0.7/META-INF/lib/atlassian-soy-core-6.0.7.jar/META-INF/maven/com.atlassian.soy/atlassian-soy-core
Atlassian Soy - Plugin API,com.atlassian.soy:soy-template-renderer-plugin-api:6.0.7:jar,BSD,https://www.atlassian.com/public-pom/soy-templates-parent/soy-template-renderer-plugin-api/,binary,
Atlassian Soy - Plugin,com.atlassian.soy:soy-template-plugin:6.0.7:atlassian-plugin,BSD,https://www.atlassian.com/public-pom/soy-templates-parent/soy-template-plugin/,binary,
Atlassian Spring Scanner Annotations,com.atlassian.plugin:atlassian-spring-scanner-annotation:1.2.4:jar,Apache License 2.0,http://www.atlassian.com/public-pom/atlassian-spring-scanner-parent/atlassian-spring-scanner-annotation/,binary,com.atlassian.plugins:avatar-plugin:1.3.5/META-INF/lib/atlassian-spring-scanner-annotation-1.2.4.jar/META-INF/maven/com.atlassian.plugin/atlassian-spring-scanner-annotation
Atlassian Spring Scanner Annotations,com.atlassian.plugin:atlassian-spring-scanner-annotation:3.0.3:atlassian-plugin,Apache License 2.0,https://www.atlassian.com/public-pom/atlassian-spring-scanner-parent/atlassian-spring-scanner-annotation/,binary,
Atlassian Spring Scanner Runtime,com.atlassian.plugin:atlassian-spring-scanner-runtime:1.2.4:jar,Apache License 2.0,http://www.atlassian.com/public-pom/atlassian-spring-scanner-parent/atlassian-spring-scanner-runtime/,binary,com.atlassian.plugins:avatar-plugin:1.3.5/META-INF/lib/atlassian-spring-scanner-runtime-1.2.4.jar/META-INF/maven/com.atlassian.plugin/atlassian-spring-scanner-runtime
Atlassian Spring Scanner Runtime,com.atlassian.plugin:atlassian-spring-scanner-runtime:3.0.3:atlassian-plugin,Apache License 2.0,https://www.atlassian.com/public-pom/atlassian-spring-scanner-parent/atlassian-spring-scanner-runtime/,binary,
Atlassian Spring,com.atlassian.spring:atlassian-spring:2.0.8:jar,BSD License,https://docs.atlassian.com/atlassian-spring/2.0.8/atlassian-spring,binary,
Atlassian Struts Compatibility Library,com.atlassian.struts2:struts-compat:6.2.0:jar,BSD License,https://www.atlassian.com/public-pom/struts-compat/,binary,
